Competition,Week,Game Start Time,Division,Court,Team 1,Team 2,Duty Team,Game End Time,Event Title,Start Date,End Date,Google Calendar URL
SML4,1,8:00 pm,C,1,Xiangxia Sitters,The Breakfast Club,Vertically Challenged C,9:00 pm,Xiangxia Sitters vs. The Breakfast Club (Duty: Vertically Challenged C),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. The Breakfast Club (Duty: Vertically Challenged C)&dates=20250503T200000/20250503T210000
SML4,1,8:00 pm,B1,5,Sparrowbears,Norths,Team Name,9:00 pm,Sparrowbears vs. Norths (Duty: Team Name),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Norths (Duty: Team Name)&dates=20250503T200000/20250503T210000
SML4,2,5:00 pm,B2,3,Jerrys Goons,Vertically Challenged B,Plant the Spike,6:00 pm,Jerrys Goons vs. Vertically Challenged B (Duty: Plant the Spike),20250510T170000,20250510T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Jerrys Goons vs. Vertically Challenged B (Duty: Plant the Spike)&dates=20250510T170000/20250510T180000
SML4,2,6:00 pm,B2,0,Plant the Spike,Step-Libro,Jerrys Goons,7:00 pm,Plant the Spike vs. Step-Libro (Duty: Jerrys Goons),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Step-Libro (Duty: Jerrys Goons)&dates=20250510T180000/20250510T190000
SML4,2,6:00 pm,C,1,Nathan's Angels,Soft Serve,Vertically Challenged C,7:00 pm,Nathan's Angels vs. Soft Serve (Duty: Vertically Challenged C),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Nathan's Angels vs. Soft Serve (Duty: Vertically Challenged C)&dates=20250510T180000/20250510T190000
SCL,2,6:00 pm,Challenger League,2,Xiangxia Challengers,Chicken Jockey,Harder Spikes United,7:00 pm,Xiangxia Challengers vs. Chicken Jockey (Duty: Harder Spikes United),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Challengers vs. Chicken Jockey (Duty: Harder Spikes United)&dates=20250510T180000/20250510T190000
SML4,2,6:00 pm,B2,3,VolleyBawlers,Spike Wazowski,Vertically Challenged B,7:00 pm,VolleyBawlers vs. Spike Wazowski (Duty: Vertically Challenged B),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Spike Wazowski (Duty: Vertically Challenged B)&dates=20250510T180000/20250510T190000
SML4,2,7:00 pm,B1,0,Sparrowbears,Team Name,Pancakes,8:00 pm,Sparrowbears vs. Team Name (Duty: Pancakes),20250510T190000,20250510T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Team Name (Duty: Pancakes)&dates=20250510T190000/20250510T200000
SML4,2,7:00 pm,C,1,Vertically Challenged C,The Breakfast Club,Selective Supremacy,8:00 pm,Vertically Challenged C vs. The Breakfast Club (Duty: Selective Supremacy),20250510T190000,20250510T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. The Breakfast Club (Duty: Selective Supremacy)&dates=20250510T190000/20250510T200000
SCL,2,8:00 pm,Challenger League,2,Backpain Spikers,Harder Spikes United,Chicken Jockey,9:00 pm,Backpain Spikers vs. Harder Spikes United (Duty: Chicken Jockey),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Harder Spikes United (Duty: Chicken Jockey)&dates=20250510T200000/20250510T210000
SCL,2,8:00 pm,Challenger League,3,Bossleybears Dev,Big Diggers,Xiangxia Challengers,9:00 pm,Bossleybears Dev vs. Big Diggers (Duty: Xiangxia Challengers),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Bossleybears Dev vs. Big Diggers (Duty: Xiangxia Challengers)&dates=20250510T200000/20250510T210000
SML4,2,8:00 pm,B1,0,Norths,Mr Zengs Lanzhou Volleyball,Team Name,9:00 pm,Norths vs. Mr Zengs Lanzhou Volleyball (Duty: Team Name),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Norths vs. Mr Zengs Lanzhou Volleyball (Duty: Team Name)&dates=20250510T200000/20250510T210000
SML4,2,8:00 pm,C,1,Xiangxia Sitters,Selective Supremacy,The Breakfast Club,9:00 pm,Xiangxia Sitters vs. Selective Supremacy (Duty: The Breakfast Club),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Selective Supremacy (Duty: The Breakfast Club)&dates=20250510T200000/20250510T210000
SML4,2,8:00 pm,B1,5,Pancakes,Froggers,Sparrowbears,9:00 pm,Pancakes vs. Froggers (Duty: Sparrowbears),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Pancakes vs. Froggers (Duty: Sparrowbears)&dates=20250510T200000/20250510T210000
SML4,3,5:00 pm,B2,3,VolleyBawlers,Vertically Challenged B,Xiangxia Sitters,6:00 pm,VolleyBawlers vs. Vertically Challenged B (Duty: Xiangxia Sitters),20250517T170000,20250517T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Vertically Challenged B (Duty: Xiangxia Sitters)&dates=20250517T170000/20250517T180000
SML4,3,6:00 pm,B1,0,Norths,Pancakes,Sparrowbears,7:00 pm,Norths vs. Pancakes (Duty: Sparrowbears),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Norths vs. Pancakes (Duty: Sparrowbears)&dates=20250517T180000/20250517T190000
SML4,3,6:00 pm,C,1,Xiangxia Sitters,Soft Serve,Vertically Challenged B,7:00 pm,Xiangxia Sitters vs. Soft Serve (Duty: Vertically Challenged B),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Soft Serve (Duty: Vertically Challenged B)&dates=20250517T180000/20250517T190000
SCL,3,6:00 pm,Challenger League,2,Backpain Spikers,Bossleybears Dev,Big Diggers,7:00 pm,Backpain Spikers vs. Bossleybears Dev (Duty: Big Diggers),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Bossleybears Dev (Duty: Big Diggers)&dates=20250517T180000/20250517T190000
SML4,3,6:00 pm,B2,3,Nathan's Angels,The Breakfast Club,VolleyBawlers,7:00 pm,Nathan's Angels vs. The Breakfast Club (Duty: VolleyBawlers),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Nathan's Angels vs. The Breakfast Club (Duty: VolleyBawlers)&dates=20250517T180000/20250517T190000
SML4,3,7:00 pm,B1,0,Sparrowbears,Froggers,Mr Zengs Lanzhou Volleyball,8:00 pm,Sparrowbears vs. Froggers (Duty: Mr Zengs Lanzhou Volleyball),20250517T190000,20250517T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Froggers (Duty: Mr Zengs Lanzhou Volleyball)&dates=20250517T190000/20250517T200000
SML4,3,7:00 pm,C,1,Vertically Challenged C,Selective Supremacy,Spike Wazowski,8:00 pm,Vertically Challenged C vs. Selective Supremacy (Duty: Spike Wazowski),20250517T190000,20250517T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. Selective Supremacy (Duty: Spike Wazowski)&dates=20250517T190000/20250517T200000
SCL,3,8:00 pm,Challenger League,2,Chicken Jockey,Big Diggers,Bossleybears Dev,9:00 pm,Chicken Jockey vs. Big Diggers (Duty: Bossleybears Dev),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Chicken Jockey vs. Big Diggers (Duty: Bossleybears Dev)&dates=20250517T200000/20250517T210000
